 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.625	0.78125	0.289676736584	0.37037037037
S1 Pyramidal	0.25	1.0	0.734375	0.484767985742	0.484848484848
CA1 Pyramidal	0.75	0.875	0.75	0.421262731871	0.451612903226
Oligodendrocyte	0.875	0.875	0.75	0.421262731871	0.451612903226
Microglia	1.0	0.875	0.75	0.421262731871	0.451612903226
Endothelial	0.625	0.625	0.78125	0.289676736584	0.37037037037
Astrocyte	1.0	0.75	0.765625	0.356512047954	0.413793103448
Ependymal	0.625	0.625	0.78125	0.289676736584	0.37037037037
Mural	0.875	0.625	0.78125	0.289676736584	0.37037037037
Global Evaluations	0.763888888889	0.763888888889	0.763888888889	0.362641686183	0.414995753273
